Data;Comercial_GWh;Residencial_GWh;Industrial_GWh;Outros_GWh;Brasil_GWh
ago/82;1.258;2.236;5.645;1.402;10.541
set/82;1.326;2.343;5.597;1.432;10.698
out/82;1.284;2.29;5.548;1.393;10.515
nov/82;1.351;2.38;5.494;1.419;10.644
dez/82;1.397;2.35;5.287;1.419;10.453
jan/83;1.47;2.538;5.132;1.49;10.63
fev/83;1.409;2.416;4.994;1.434;10.253
mar/83;1.366;2.397;5.143;1.454;10.36
abr/83;1.468;2.564;5.722;1.512;11.266
mai/83;1.364;2.407;5.553;1.464;10.788
jun/83;1.42;2.562;5.933;1.496;11.411
jul/83;1.315;2.407;5.75;1.473;10.945
ago/83;1.306;2.403;5.866;1.502;11.077
set/83;1.398;2.592;6.07;1.548;11.608
out/83;1.383;2.507;6.017;1.495;11.402
nov/83;1.4;2.501;5.961;1.504;11.366
dez/83;1.455;2.448;5.898;1.531;11.332
jan/84;1.552;2.619;5.834;1.637;11.642
fev/84;1.573;2.626;6.161;1.608;11.968
mar/84;1.577;2.694;6.353;1.583;12.207
abr/84;1.445;2.476;6.16;1.545;11.626
mai/84;1.427;2.548;6.507;1.549;12.031
jun/84;1.454;2.54;6.676;1.607;12.277
jul/84;1.377;2.486;6.777;1.57;12.21
ago/84;1.431;2.523;7.101;1.643;12.698
set/84;1.422;2.638;7.239;1.654;12.953
out/84;1.384;2.485;7.093;1.558;12.52
nov/84;1.569;2.733;7.412;1.706;13.42
dez/84;1.493;2.555;7.142;1.655;12.845
jan/85;1.578;2.753;7.084;1.789;13.204
fev/85;1.549;2.654;7.219;1.692;13.114
mar/85;1.546;2.643;7.225;1.665;13.079
abr/85;1.605;2.797;7.547;1.702;13.651
mai/85;1.517;2.692;7.31;1.705;13.224
jun/85;1.472;2.655;7.674;1.727;13.528
jul/85;1.383;2.518;7.376;1.688;12.965
ago/85;1.51;2.71;7.96;1.789;13.969
set/85;1.535;2.767;7.825;1.791;13.918
out/85;1.541;2.741;7.846;1.874;14.002
nov/85;1.678;2.907;7.974;1.761;14.32
dez/85;1.625;2.787;7.8;1.829;14.041
jan/86;1.731;3.018;7.53;1.841;14.12
fev/86;1.695;2.936;7.364;1.714;13.709
mar/86;1.556;2.711;7.19;1.695;13.152
abr/86;1.641;2.87;7.647;1.736;13.894
mai/86;1.628;2.985;8.325;1.818;14.756
jun/86;1.564;2.945;8.235;1.77;14.514
jul/86;1.517;2.884;8.285;1.816;14.502
ago/86;1.609;3.038;8.719;1.861;15.227
set/86;1.589;3.028;8.538;1.873;15.028
out/86;1.642;3.053;8.551;1.878;15.124
nov/86;1.747;3.197;8.71;1.905;15.559
dez/86;1.691;3.082;8.044;1.868;14.685
jan/87;1.955;3.43;8.306;2.007;15.698
fev/87;1.611;3.157;7.764;1.89;14.422
mar/87;1.759;3.274;7.908;1.944;14.885
abr/87;1.684;3.113;7.749;1.866;14.412
mai/87;1.717;3.225;8.079;1.919;14.94
jun/87;1.591;3.02;7.873;1.873;14.357
jul/87;1.592;3.104;8.011;1.911;14.618
ago/87;1.653;3.217;8.391;2.006;15.267
set/87;1.689;3.174;8.249;1.981;15.093
out/87;1.678;3.207;8.344;1.991;15.22
nov/87;1.785;3.241;8.546;1.996;15.568
dez/87;1.751;3.181;8.183;1.977;15.092
